CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Income_Category,Credit_Limit,Total_Revolving_Bal,Avg_Purchase,Total_Trans_Amt
715156383,Existing Customer,44,M,1,Unknown,$120K +,34516,1533,32983,1603
711013983,Attrited Customer,55,F,4,Unknown,$40K - $60K,2158,0,2158,615
755420433,Existing Customer,59,F,1,Graduate,Unknown,10133,1417,8716,1068
794543958,Existing Customer,53,M,1,Graduate,$80K - $120K,34516,1219,33297,1590
716396358,Existing Customer,52,M,2,Graduate,$60K - $80K,3085,1910,1175,1531
715398033,Existing Customer,53,M,2,High School,$120K +,19040,2056,16984,1212
711743883,Existing Customer,43,F,3,Uneducated,Less than $40K,4026,0,4026,1237
719720058,Existing Customer,44,M,3,High School,$60K - $80K,12756,837,11919,1413
778992108,Existing Customer,57,M,2,Unknown,$120K +,5266,0,5266,1516
717539808,Existing Customer,51,F,2,High School,Less than $40K,9930,0,9930,1276
714070758,Existing Customer,49,M,4,High School,$80K - $120K,31302,1953,29349,1564
714107958,Existing Customer,45,M,1,Graduate,$40K - $60K,6576,0,6576,1465
789140283,Existing Customer,53,M,0,Graduate,$80K - $120K,2664,2037,627,1286
715550508,Existing Customer,45,F,3,Unknown,Unknown,2535,2440,95,1312
719712633,Existing Customer,64,M,1,Graduate,Less than $40K,1709,895,814,1673
772629333,Existing Customer,45,M,3,Graduate,$40K - $60K,3454,1200,2254,1313
720336708,Existing Customer,53,M,3,Doctorate,$40K - $60K,3789,1706,2083,1609
802013583,Existing Customer,56,M,3,College,$120K +,9689,2250,7439,1158
711887583,Attrited Customer,47,M,2,Unknown,$80K - $120K,5449,1628,3821,836
